CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50091553,EL CAMPEON DE LOS POLLOS,Queens,11106,LEFFERTS BLVD,11420,7187385361,Spanish,01/09/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,13,A,01/09/2025,03/08/2025,Cycle Inspection / Re-inspection,40.680222198497,-73.821234056862,410,28,010200,,4,QN55,
40712429,SAL Y PIMIENTA,Queens,81-10,ROOSEVELT AVENUE,11372,3473613282,Spanish,02/20/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,61,Z,02/20/2025,03/08/2025,Cycle Inspection / Re-inspection,40.747542215303,-73.884647746901,404,25,026901,4036863,4014920005,QN29,
41701232,POLLOS DONA MARIA,Queens,9303,JAMAICA AVENUE,11421,7188054000,Spanish,02/18/2025,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,26,Z,02/18/2025,03/08/2025,Cycle Inspection / Re-inspection,40.69379755818,-73.851806337324,409,32,002200,4182392,4088800042,QN53,
50156692,MEMO'S RESTAURANT,Queens,9021,31ST AVE,11369,3478845775,Spanish,02/19/2025,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,51,N,,03/08/2025,Pre-permit (Operational) / Initial Inspection,40.760043566227,-73.878323431748,403,25,035100,4445870,4013880036,QN28,
50161802,MR. SABOR & PUNTO,Brooklyn,609,SUTTER AVENUE,11207,6168067638,Spanish,01/09/2025,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,13,A,01/09/2025,03/08/2025,Pre-permit (Operational) / Re-inspection,40.669190244928,-73.896452479294,305,42,115600,3084053,3037530038,BK85,
50086764,EL CLUB VALLE RESTAURANT,Bronx,352,EAST GUN HILL ROAD,10467,6463292949,Spanish,03/03/2025,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,23,,,03/08/2025,Cycle Inspection / Initial Inspection,40.878758753847,-73.87277868003,207,11,042902,2018504,2033520045,BX43,
50148418,PARLEY,Queens,3608,30TH AVE,11103,9177254303,Spanish,02/20/2025,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,38,N,,03/08/2025,Pre-permit (Operational) / Initial Inspection,40.76492821218,-73.917230174862,401,22,006300,4010011,4006510044,QN70,
50133484,RANGLA PUNJAB,Queens,13508,LIBERTY AVE,11419,9293584804,Indian,01/03/2025,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,33,,,03/08/2025,Cycle Inspection / Initial Inspection,40.691660868693,-73.811679786844,410,28,015801,4439352,4095890001,QN55,
50134429,EMPEROR DUMPLING,Manhattan,293,7 AVENUE,10001,7187099999,Chinese/Japanese,01/07/2025,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,38,Z,01/07/2025,03/08/2025,Cycle Inspection / Re-inspection,40.746353921208,-73.993991051665,105,03,009500,1015032,1008027502,MN17,
50097060,DELI COFFEE SHOP 55,Queens,5514,37TH AVE,11377,3472452977,Spanish,01/08/2025,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,32,,,03/08/2025,Cycle Inspection / Initial Inspection,40.750779194209,-73.906781083191,402,26,025500,4430199,4012100007,QN63,
50136075,FLAMING GRILL BUFFET,Brooklyn,2163,TILDEN AVENUE,11226,3473654818,Chinese/Japanese,01/24/2025,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,25,B,01/24/2025,03/08/2025,Cycle Inspection / Re-inspection,40.646570807963,-73.957009529065,314,40,079400,3000000,3051260001,BK95,
50108129,123 RAMEN,Queens,4205,35TH AVE,11101,7184339169,Chinese/Japanese,02/04/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,02/04/2025,03/08/2025,Cycle Inspection / Initial Inspection,40.75431919447,-73.920372768786,401,22,015900,4011000,4006750156,QN70,
50155455,El Cibao Restaurant,Manhattan,1574,SAINT NICHOLAS AVENUE,10040,9293748000,Spanish,01/29/2025,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,44,Z,01/29/2025,03/08/2025,Pre-permit (Operational) / Re-inspection,40.8541438154,-73.930186409298,112,10,027700,1063820,1021580040,MN35,
50154810,LA PANADERIA TOTOPAN,Queens,14511,JAMAICA AVE,11435,3476083154,Spanish,01/22/2025,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,29,N,,03/08/2025,Pre-permit (Operational) / Initial Inspection,40.701958836818,-73.809749920081,412,24,024000,4206728,4096750033,QN61,
50083894,MY JARABACOA #1 RESTAURANT,Queens,6513,FRESH POND RD,11385,7188215880,Spanish,01/10/2025,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,25,Z,01/10/2025,03/08/2025,Cycle Inspection / Re-inspection,40.709526805995,-73.898788219384,405,30,061301,4087552,4036110004,QN20,
50156692,MEMO'S RESTAURANT,Queens,9021,31ST AVE,11369,3478845775,Spanish,02/19/2025,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,51,N,,03/08/2025,Pre-permit (Operational) / Initial Inspection,40.760043566227,-73.878323431748,403,25,035100,4445870,4013880036,QN28,
50089410,TERIYAKI 365,Queens,4202,NORTHERN BLVD,11101,9178380266,Chinese/Japanese,02/06/2025,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,27,Z,02/06/2025,03/08/2025,Cycle Inspection / Re-inspection,40.753068276318,-73.921377667644,401,26,017100,4002366,4001830051,QN31,
50106618,MALEEN BANQUET HALL,Queens,24107,JAMAICA AVE,11426,7183478500,Indian,02/14/2025,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,10,A,02/14/2025,03/08/2025,Cycle Inspection / Initial Inspection,40.723805956767,-73.72632268348,413,23,162100,4613135,4080050180,QN43,
50098817,ANGEL INDIAN RESTAURANT,Queens,7414,37TH RD,11372,3476327555,Indian,03/04/2025,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,21,,,03/08/2025,Cycle Inspection / Initial Inspection,40.747249503467,-73.891270825102,403,25,028900,4029839,4012850071,QN28,
50144305,ROWDY ROOSTER,Manhattan,140,WEST   32 STREET,10001,9737277160,Indian,01/22/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,16,,,03/08/2025,Pre-permit (Operational) / Initial Inspection,40.749018802595,-73.98995942007,105,03,010100,1015187,1008070062,MN17,
50154810,LA PANADERIA TOTOPAN,Queens,14511,JAMAICA AVE,11435,3476083154,Spanish,01/22/2025,Violations were cited in the following area(s).,28-06,Contract with a pest management professional not in place. Record of extermination activities not kept on premises.,Not Critical,29,N,,03/08/2025,Pre-permit (Operational) / Initial Inspection,40.701958836818,-73.809749920081,412,24,024000,4206728,4096750033,QN61,
50071605,BAAR BAAR,Manhattan,13,EAST    1 STREET,10003,2122281200,Indian,02/18/2025,Violations were cited in the following area(s).,20-05,"Current letter grade or ""Grade Pending"" card not conspicuously posted or visible to passersby",Not Critical,,,,03/08/2025,Administrative Miscellaneous / Re-inspection,40.724516414766,-73.991435104559,103,02,003602,1087255,1004560007,MN22,
50113163,INDAY,Manhattan,1,NEW YORK PLZ,10004,9173989771,Indian,01/08/2025,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,29,N,,03/08/2025,Cycle Inspection / Initial Inspection,40.702533192425,-74.012561775828,101,01,000900,1000005,1000047501,MN25,
50129275,JALSA,Brooklyn,786,CONEY ISLAND AVENUE,11218,9294616559,Indian,01/06/2025,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,27,Z,01/06/2025,03/08/2025,Cycle Inspection / Re-inspection,40.638304524245,-73.968526818209,312,40,049200,3126907,3053930019,BK41,
50146133,Alvarlozan's Restaurant Coffee Shop,Brooklyn,747,FLUSHING AVENUE,11206,3472433109,Spanish,01/29/2025,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,22,Z,01/29/2025,03/08/2025,Cycle Inspection / Re-inspection,40.700636640472,-73.94268199383,301,33,050700,3061516,3022760035,BK75,
50108497,DHAMAKA,Manhattan,88,ESSEX STREET,10002,9737277160,Indian,01/14/2025,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,43,,,03/08/2025,Cycle Inspection / Initial Inspection,40.718140053728,-73.988402066414,103,01,001800,1090554,1003527501,MN27,
50107878,CHAKRA,Queens,5908,MAIN ST,11355,7187990793,Chinese/Japanese,02/21/2025,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,22,Z,02/21/2025,03/08/2025,Cycle Inspection / Re-inspection,40.743710162962,-73.82566071205,407,20,080301,4439945,4063810033,QN62,
50133484,RANGLA PUNJAB,Queens,13508,LIBERTY AVE,11419,9293584804,Indian,01/03/2025,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,33,,,03/08/2025,Cycle Inspection / Initial Inspection,40.691660868693,-73.811679786844,410,28,015801,4439352,4095890001,QN55,
50122434,FIESTA LOUNGE & RESTAURANT,Bronx,4640,3 AVENUE,10458,9174593630,Spanish,02/26/2025,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,20,,,03/08/2025,Cycle Inspection / Initial Inspection,40.856413417701,-73.891001303829,206,15,038700,2011702,2030550056,BX06,
50107354,POLLOS A LA BRASA,Brooklyn,691,KNICKERBOCKER AVENUE,11221,7183819400,Spanish,01/17/2025,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,27,Z,01/17/2025,03/08/2025,Cycle Inspection / Re-inspection,40.694566860155,-73.910891673053,304,37,043500,3077675,3033850008,BK77,
50034542,LA GATA GOLOSA BAKERY / YOGURBERRY,Queens,8120,ROOSEVELT AVE,11372,9294717268,Spanish,01/09/2025,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,41,,,03/08/2025,Cycle Inspection / Initial Inspection,40.747547639492,-73.884582774644,404,25,026901,4036868,4014920010,QN29,
50107354,POLLOS A LA BRASA,Brooklyn,691,KNICKERBOCKER AVENUE,11221,7183819400,Spanish,01/17/2025,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,27,Z,01/17/2025,03/08/2025,Cycle Inspection / Re-inspection,40.694566860155,-73.910891673053,304,37,043500,3077675,3033850008,BK77,
50109439,BBQ VILLAGE,Queens,18112,HILLSIDE AVE,11432,7188388801,Indian,01/17/2025,Establishment re-closed by DOHMH.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,,,03/08/2025,Cycle Inspection / Reopening Inspection,40.713192265025,-73.781498721437,412,27,046800,4212419,4099170043,QN61,
50142941,PICAZO'S PIZZA & RESTAURANT PLACE,Brooklyn,871,3 AVENUE,11232,3476629160,Spanish,01/17/2025,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,24,Z,01/17/2025,03/08/2025,Cycle Inspection / Re-inspection,40.657662219155,-74.004180827123,307,38,010100,3010072,3006800012,BK32,
50058269,ESPINAL DELI & GROCERY,Brooklyn,282,NOSTRAND AVENUE,11205,7188571784,Spanish,01/24/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,25,,,03/08/2025,Cycle Inspection / Initial Inspection,40.690257258274,-73.951557934126,303,36,024100,3049733,3017830055,BK75,
50142277,LA POTENCIA BAR RESTAURANT,Bronx,1898,JEROME AVENUE,10453,9299243249,Spanish,03/05/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,03/05/2025,03/08/2025,Cycle Inspection / Re-inspection,40.850147630028,-73.910588466456,205,14,023301,2008233,2028520009,BX41,
50071683,BOMBAY KABAB,Brooklyn,54,7 AVENUE,11217,3472850479,Indian,01/21/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,37,Z,01/21/2025,03/08/2025,Cycle Inspection / Re-inspection,40.676005533478,-73.974417809523,306,39,015900,3019493,3009480046,BK37,
50081217,STANLEY COFFEE SHOP,Brooklyn,675,STANLEY AVENUE,11207,7186496228,Spanish,02/14/2025,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,30,,,03/08/2025,Cycle Inspection / Initial Inspection,40.65937383071,-73.883870897222,305,42,110400,3097683,3043530031,BK82,
50064069,5 STAR BANQUET,Queens,1305,43RD AVE,11101,7187848484,Indian,01/29/2025,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,24,Z,01/29/2025,03/08/2025,Cycle Inspection / Re-inspection,40.750988407865,-73.946330746212,402,26,001900,4005267,4004570149,QN31,
50145347,Kuchuplum,Bronx,155,EAST BURNSIDE AVENUE,10453,6462819776,Spanish,03/03/2025,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,4,A,03/03/2025,03/08/2025,Cycle Inspection / Initial Inspection,40.852717272536,-73.904476031755,205,14,023501,2088405,2031600001,BX41,
50143869,COOKLYN EATS,Brooklyn,429,NEW LOTS AVENUE,11207,6319747516,Spanish,01/14/2025,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,22,N,,03/08/2025,Cycle Inspection / Initial Inspection,40.662420046446,-73.891780885036,305,42,112800,3085609,3038410036,BK85,
50044966,PIQUE 86 RESTAURANT,Bronx,220,EAST  198 STREET,10458,7186845166,Spanish,01/29/2025,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,13,A,01/29/2025,03/08/2025,Cycle Inspection / Re-inspection,40.869699917792,-73.890220143814,207,15,040302,2017147,2033040128,BX05,
50142884,LA CHOZA DEL GORDO,Queens,24725,JERICHO TPKE,11426,9172543034,Spanish,02/04/2025,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,38,,,03/08/2025,Cycle Inspection / Initial Inspection,40.725577543254,-73.719998005544,413,23,161700,4176971,4086620053,QN43,
50147491,LA CASA DE CHICHARRON,Queens,10650,SUTPHIN BLVD,11435,7579478092,Spanish,03/05/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,22,,,03/08/2025,Cycle Inspection / Initial Inspection,40.694367175859,-73.801881383619,412,28,019800,4215546,4100880024,QN01,
50089410,TERIYAKI 365,Queens,4202,NORTHERN BLVD,11101,9178380266,Chinese/Japanese,02/06/2025,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,27,Z,02/06/2025,03/08/2025,Cycle Inspection / Re-inspection,40.753068276318,-73.921377667644,401,26,017100,4002366,4001830051,QN31,
50155479,LA GRAN PARADA,Manhattan,4221,BROADWAY,10033,2127400700,Spanish,02/24/2025,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,49,N,,03/08/2025,Pre-permit (Operational) / Initial Inspection,40.849028811692,-73.936976348703,112,10,026500,1064270,1021760054,MN36,
50154040,ANTOJITOS,Staten Island,611,BAY STREET,10304,3477599384,Spanish,02/24/2025,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,25,N,,03/08/2025,Pre-permit (Operational) / Initial Inspection,40.626961528167,-74.075810956822,501,49,002100,5013210,5004930003,SI37,
50164421,COMA BUENO RESTAURANT,Manhattan,944,COLUMBUS AVENUE,10025,3477925571,Spanish,03/03/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,28,N,,03/08/2025,Pre-permit (Operational) / Initial Inspection,40.79949471042,-73.962685768519,107,07,019300,1055968,1018610031,MN09,
50135751,LA GITANA # 4 PANADERIA Y RESTAURANTE,Queens,9031,37TH AVE,11372,9175209339,Spanish,01/02/2025,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,32,,,03/08/2025,Cycle Inspection / Initial Inspection,40.750566741526,-73.876539811989,403,25,027500,4035996,4014640039,QN28,
50164693,Empire Teishoku-Ya,Brooklyn,271,PROSPECT PARK WEST,11215,9173657658,Chinese/Japanese,02/06/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,02/06/2025,03/08/2025,Pre-permit (Operational) / Initial Inspection,40.658393757439,-73.982126767181,307,38,016900,3016608,3008710002,BK40,
50052428,SWEETGREEN,Manhattan,1321,1 AVENUE,10021,6464906858,Salads,01/27/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,01/27/2025,03/08/2025,Cycle Inspection / Re-inspection,40.767022134733,-73.956574077888,108,05,012600,1084300,1014450030,MN31,
40368725,CAFE RIAZOR,Manhattan,245,WEST   16 STREET,10011,2127272132,Spanish,01/08/2025,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,12,A,01/08/2025,03/08/2025,Cycle Inspection / Initial Inspection,40.740439115543,-74.000025260594,104,03,008100,1013798,1007660016,MN13,
50145347,Kuchuplum,Bronx,155,EAST BURNSIDE AVENUE,10453,6462819776,Spanish,03/03/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,03/03/2025,03/08/2025,Cycle Inspection / Initial Inspection,40.852717272536,-73.904476031755,205,14,023501,2088405,2031600001,BX41,
50071108,EMPANADA MAMA,Manhattan,765,9 AVENUE,10019,2126989008,Spanish,01/27/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,01/27/2025,03/08/2025,Cycle Inspection / Re-inspection,40.764334406058,-73.988336232021,104,03,013300,1026722,1010610031,MN15,
50084799,HAANDI,Manhattan,113,LEXINGTON AVENUE,10016,2126855200,Indian,01/21/2025,Violations were cited in the following area(s).,20-06,Current letter grade or Grade Pending card not posted,Not Critical,,,,03/08/2025,Administrative Miscellaneous / Initial Inspection,40.742488127146,-73.982555216514,106,02,006800,1018194,1008830067,MN21,
50127183,JUST SALAD,Manhattan,463,7 AVENUE,10018,5165082187,Salads,01/28/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,01/28/2025,03/08/2025,Cycle Inspection / Re-inspection,40.751741613774,-73.990056458411,105,03,010900,1015222,1008110001,MN17,
41609062,PARADISE CAFE NY RESTAURANT,Bronx,1021,OGDEN AVENUE,10452,7185376675,Spanish,02/14/2025,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,30,,,03/08/2025,Cycle Inspection / Initial Inspection,40.833576793068,-73.929019157014,204,16,018900,2003469,2025250032,BX26,
50146023,MYSTTIK MASAALA,Manhattan,135,WEST   50 STREET,10020,9177014579,Indian,01/28/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,55,,,03/08/2025,Pre-permit (Operational) / Initial Inspection,40.760367337647,-73.981532569014,105,04,013100,1022708,1010030005,MN17,
50133159,UMI BUFFET,Brooklyn,3839,NOSTRAND AVENUE,11235,3472727666,Chinese/Japanese,02/11/2025,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,28,,,03/08/2025,Cycle Inspection / Initial Inspection,40.59027581235,-73.939921880442,315,48,059600,3204766,3074460001,BK17,
